"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2008-079","2008-079-01","2008-079-01-01","2008-079-01-01-01",6/25/2009,1,"557 U.S. 364","129 S. Ct. 2633","174 L. Ed. 2d 354","2009 U.S. LEXIS 4735",2008,1702,"Roberts","08-479","SAFFORD UNIFIED SCHOOL DISTRICT #1, et al.v. APRIL REDDING",4/21/2009,,21,4,239,,1,,,0,45,,29,,1,12,3,2,1,7,0,1,0,0,10050,1,2,0,2,7,2,205,"NA",107,111,1,8,1
"2008-080","2008-080-01","2008-080-01-01","2008-080-01-01-01",6/25/2009,1,"557 U.S. 404","129 S. Ct. 2561","174 L. Ed. 2d 382","2009 U.S. LEXIS 4732",2008,1702,"Roberts","08-214","ATLANTIC SOUNDING CO., INC., et al. v. EDGAR L. TOWNSEND",3/2/2009,,116,,145,,1,,,0,56,,31,,0,2,2,2,1,2,0,0,0,0,80080,8,2,0,7,4,3,348,"NA",108,103,1,5,4
"2008-081","2008-081-01","2008-081-01-01","2008-081-01-01-01",6/25/2009,1,"557 U.S. 433","129 S. Ct. 2579","174 L. Ed. 2d 406","2009 U.S. LEXIS 4733",2008,1702,"Roberts","08-289","THOMAS C. HORNE, SUPERINTENDENT, ARIZONA PUBLIC INSTRUCTION v. MIRIAM FLORES et al.",4/20/2009,,19,4,239,,1,,,0,45,,29,,0,12,2,2,1,4,0,1,0,0,20050,2,1,0,4,,4,400,"NA",112,111,1,5,4
"2008-082","2008-082-01","2008-082-01-01","2008-082-01-01-01",6/29/2009,1,"557 U.S. 519","129 S. Ct. 2710","174 L. Ed. 2d 464","2009 U.S. LEXIS 4944",2008,1702,"Roberts","08-453","ANDREW M. CUOMO, ATTORNEY GENERAL OF NEW YORK v. THE CLEARING HOUSE ASSOCIATION, L. L. C., et al.",4/28/2009,,19,37,113,,1,17,,0,96,,22,,0,11,2,1,1,6,0,1,0,0,100030,10,1,0,4,,6,600,"12-484",105,103,1,5,4
"2008-083","2008-083-01","2008-083-01-01","2008-083-01-01-01",6/29/2009,1,"557 U.S. 557","129 S. Ct. 2658","174 L. Ed. 2d 490","2009 U.S. LEXIS 4945",2008,1702,"Roberts","07-1428","FRANK RICCI, et al. v. JOHN DESTEFANO et al.",4/22/2009,,8,8,19,8,1,117,8,0,53,,22,,0,12,2,2,1,4,0,1,0,0,20070,2,1,0,4,,3,384,"NA",106,111,1,5,4
"2009-001","2009-001-01","2009-001-01-01","2009-001-01-01-01",12/8/2009,1,"558 U.S. 100","130 S. Ct. 599","175 L. Ed. 2d 458","2009 U.S. LEXIS 8942",2009,1703,"Roberts","08-678","MOHAWK INDUSTRIES, INC. v. NORMAN CARPENTER",10/5/2009,,151,,145,,1,,,0,60,,31,,0,2,9,1,1,2,0,0,0,0,90480,9,1,0,7,,6,600,,113,111,1,9,0
"2009-002","2009-002-01","2009-002-01-01","2009-002-01-01-01",12/8/2009,1,"558 U.S. 87","130 S. Ct. 576","175 L. Ed. 2d 447","2009 U.S. LEXIS 8941",2009,1703,"Roberts","08-351","ANITA ALVAREZ, COOK COUNTY STATE'S ATTORNEY v. CHERMANE SMITH et al.",10/14/2009,,19,17,195,,1,,,0,66,,27,,0,11,4,2,1,5,0,1,0,0,90130,9,1,0,2,7,1,139,"NA",110,111,1,8,1
"2009-003","2009-003-01","2009-003-01-01","2009-003-01-01-01",12/8/2009,1,"558 U.S. 67","130 S. Ct. 584","175 L. Ed. 2d 428","2009 U.S. LEXIS 8943",2009,1703,"Roberts","08-604","UNION PACIFIC RAILROAD COMPANY v. BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN GENERAL COMMITTEE OF ADJUSTMENT, CENTRAL REGION",10/7/2009,,231,,249,,1,84,,0,66,,27,,0,2,3,2,1,2,0,0,0,0,70080,7,2,0,4,,3,363,"NA",109,111,1,9,0
"2009-004","2009-004-01","2009-004-01-01","2009-004-01-01-01",12/8/2009,1,"558 U.S. 53","130 S. Ct. 612","175 L. Ed. 2d 417","2009 U.S. LEXIS 8944",2009,1703,"Roberts","08-992","JEFFREY A. BEARD, SECRETARY, PENNSYLVANIA DEPARTMENT OF CORRECTIONS, et al. v. JOSEPH J. KINDLER",11/2/2009,,28,45,126,,1,,,0,109,,23,,0,11,2,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,"NA",111,111,1,8,0
"2009-005","2009-005-01","2009-005-01-01","2009-005-01-01-01",12/7/2009,2,"558 U.S. 45","130 S. Ct. 546","175 L. Ed. 2d 410","2009 U.S. LEXIS 8773",2009,1703,"Roberts","09-91","MICHIGAN v. JEREMY FISHER",,,28,27,137,,1,,,0,302,27,301,27,1,12,2,2,1,4,0,1,0,0,10050,1,1,0,2,7,2,205,"NA",,111,1,7,2
